Airtable	light	warm workshop with color-coded chapters	Haas Groot Disp, Haas	#faf5e8 #ffffff #f8fafc #181d26	architecture,saas,colorful,pastel,dashboard,warm,fitness
Akash Tyagi	dark	midnight gallery wall with hot pink markers	sans-serif, Geist	#000000 #efe6d8 #aca69c #736e68	dark,portfolio
Aker	light	darkroom gallery wall Monumental type floats over muted landscape photography like exhibit	Proxima Nova, Lora	#000000 #ffffff #1c1c1c #070707	luxury,architecture,hospitality,hotel,travel,photography,portfolio
Alden	light	serene clinic on warm parchment — a page so quiet the single blue word and sage button fee	Stk bureau Sans Book Trial, Stk bureau Serif Book Trial	#f3f1eb #28262a #4a4a4c #ffffff	healthcare,clinical,children,hotel,ai
Alejandro Mejias	both	Acid-lit brutalist atelier, acid yellow against obsidian and bone white	FK Raster Grotesk Compact Trial Sharp, IBM Plex Mono	#ebff00 #080707 #000000 #ffffff	architecture,brutalist,agency,construction,blog,law firm
Alison Roman	light	cookbook pages on warm cream paper — a printed spread from an artisan food memoir, transla	Jannon Neo, Modale Antique	#290a08 #810c00 #fff3cc #f6f0e1	restaurant,food,warm
Allbirds	light	Natural materials on white linen	Self Modern, Geograph	#ffffff #212121 #000000 #e0dacf	fashion,ecommerce,natural,beauty,nature,jewelry
Allfeat	dark	Backstage monitor at midnight — one teal stage light cutting through warm cream type on ch	TASA Orbiter	#151515 #fffbeb #383835 #b8b8b8	dark,experimental,music,crypto,space,community,security
Allier Ho	light	serif whisper on warm paper	Crimson Pro, Azeret Mono	#fcfcfc #000000 #1c1c1c #262626	hotel,agency,portfolio,law firm,consulting
Alpine Bio	light	Sun-drenched botanical apothecary on cream parchment	Switzer, Geist	#f5f5f5 #f8f4e6 #ffffff #e9e9e9	swiss,product,organic,natural,food,wellness,pharma
Alpine Hearing Protection	light	Sunlit Scandinavian editorial. A cinnamon-ink wordmark on warm cream paper, with one red e	Antarctica, GTStandard-M	#200e0e #ed212d #ffffff #f8f0ec	swiss,kids,children,product,experimental,education,sport
Altason	light	architectural monochrome broadsheet	Haas Grotesk DS Pro, Haas Grotesk TX Pro	#000000 #ffffff #212121 #b0b0b0	architecture,brutalist,agency,monochrome
Altitude	dark	midnight financial editorial — a darkened trading floor printed on bone-white serif stock,	Libre Baskerville, Inter	#181818 #111111 #1f1f1f #262626	dark,industrial,corporate,tech,gradient,ai,banking
Altitude Beverages	both	Monochrome editorial spread. Imagine a fashion magazine spread stripped of all color excep	HelveticaNowDisplay, EditorialNew	#fafafa #d9d9d9 #cdcdce #07060b	minimal,fashion,beauty,monochrome,coffee
Altius	dark	Molten embers on obsidian. A blockchain command center lit from within by coral fire, wher	Matter, Fabrikatmono	#190501 #340a01 #631303 #951c04	dark,warm,crypto,banking,security,energy
Alt–Border	light	Monochrome editorial gallery — broadsheet headline on gallery white.	Neuehaasdisplay, Inferi	#000000 #ffffff #333333 #808080	editorial,swiss,photography,typography,magazine,beauty,monochrome
Alveos One	light	warm river-stone sanctuary — a still, cream-lit meditation room where a single graphite ob	sans-serif, Hanken Grotesk	#fcf9f7 #ffffff #000000 #05060b	healthcare,organic,natural,wellness,warm,nature,fitness
Amaterasu	dark	Celestial teal sanctuary	TWKLausanne-250, TWKLausanne-200	#1b2978 #19366c #75cdd6 #84cdee	ai
Ambrook	light	harvest ledger on butcher paper	Lateral, Lateral Narrow	#fcfaf1 #efe9e0 #ffffff #c7bcaf	organic,fintech,food,automotive,warm,retro,banking
Ameba	dark	Midnight control room — electric blue pulse inside frosted glass panels.	Open Suace Sans Regular, F37 Bolton	#00052e #0428cb #34fcff #afb4db	dark,tech,saas,dashboard,neon,science,space
Amie	light	Sunlit productivity dashboard — a workspace where everything is white, flat, and purposefu	Inter, Inter var	#ffffff #fafafa #cdcdcd #ebebeb	friendly,developer,dashboard,productivity,energy
Amplemarket	light	Sunlit workspace with scattered confetti	Labil Grotesk Variable	#e8400d #10054d #272625 #111111	playful,product,saas,colorful,pastel,friendly,light
Amrit Palace	light	spiced parchment gallery — a candlelit beige wall holding sparse saffron punctuation benea	TT Ramillas Variable, Satoshi	#d8cbb8 #bfb4a3 #b6ab9c #978e81	luxury,hospitality,hotel,restaurant,travel,pastel,food
Anacuna	light	Oversized broadsheet with blush punctuation — a page where type IS the design and the sing	ABCMonumentGrotesk-Regular	#000000 #ffffff #ffc8c8	typography
Analogue	dark	Black gallery vitrine — products float in void	circularXx	#000000 #ffffff #e5e7eb #bfbfbf	dark,cinematic,ecommerce,product,brutalist,experimental,photography
Analogue	dark	Light tunnel through void	Graphik Medium, LCDDot TR	#000000 #1c1c1c #ffffff #ededed	dark,cinematic,brutalist,experimental,photography,light,retro
Analogue aF-1	light	Vogue spread meets Bauhaus blueprint	ITC Garamond Std Light Narrow, Graphik Medium	#002fff #ffffff #171717 #070707	cinematic,fashion,product,experimental,photography,beauty,automotive
Andercore	dark	Steel blueprint at midnight	Archivo, Space Mono	#e32735 #0b0405 #150e0f #382e30	industrial,music
Andrei Rybin	light	monochrome atelier notebook — a designer's sketchbook where phone screens are pinned like 	sans-serif, Inter	#ffffff #000000 #858585 #8e8e90	monochrome
André Cândido	light	Editorial serif on cream paper with one yellow highlighter mark.	PP Mori, Editorial New	#111118 #ffffff #dddddd #bdbdbd	editorial,typography
AngelList	dark	midnight greenhouse with violet dawn — a near-black teal void where mint-green serif type 	angellistDisplay, angellist	#001d21 #002b31 #e0fee6 #cdcbff	dark,fintech,legal,light,gradient,banking,nonprofit
Angellist	light	Editorial annual on matte paper	angellistDisplay, angellist	#001d21 #bdbbff #ccd5d6 #ffffff	editorial,fintech,magazine,nonprofit,news
Aninix	light	white gallery wall with one indigo switch	sans-serif, Euclid Circular A	#374fd5 #ffffff #f0f0f0 #000000	industrial
Ankar AI	light	Patent vault opening into white atelier — a darkroom hero with a single illuminated manusc	Switzer Variable, Kibitz Pro Light	#000000 #ffffff #171717 #1f1f1f	swiss,automotive,ai,insurance,science,security,law firm
Anna Jóna	light	a love letter on blush paper	Sansita, Nunito Sans	#fce1e3 #db404f #0e1736 #ffffff	luxury,hospitality,pastel,beauty,nature,jewelry,wedding
Anthropic	light	scientific field journal on warm parchment — quiet ivory surfaces, editorial serif headlin	Anthropic Serif, Anthropic Sans	#141413 #f0eee6 #faf9f5 #b0aea5	organic,natural,ai,nature
Antimetal	light	editorial observatory on cream paper — a quiet morning in a research journal where restrai	Test Signifier, Geist	#d7d7d0 #f7f6f3 #fdfcfa #1a1614	experimental,friendly,science,energy
Anuc Home	light	editorial gallery in warm white — a quiet, magazine-like space where oversized serif headl	Instrument Sans, Instrument Serif	#1a1a1e #f3f3f2 #ffffff #d1d1d2	editorial,architecture,hospitality,hotel,restaurant,brutalist,magazine
Anything	light	afternoon daydream over a wildflower field. Soft, floating, a little surreal — white UI pl	Inter, Instrument Serif	#000000 #18191b #6a6a6c #7d7f80	minimal,children,travel,experimental,music,ai,nature
Aplós	light	Old-world apothecary at dusk	Goudy Old Style, System Sans (UI chrome)	#f2f1ed #ffffff #3b3429 #000000	ecommerce,product,hospitality,restaurant,organic,food,pharma
Apollo	light	Sun-baked limestone with highlighter-pen accents — editorial warmth over corporate coldnes	Season Mix, Soehne	#1a1a1a #000000 #ccc9c6 #f7f5f2	architecture,corporate,product,saas,startup,enterprise
Apollo	light	Warm brick atelier at golden hour	MonaSans, paradigm-pro	#3c261c #e97451 #4a43dd #f7efc5	architecture,hospitality,hotel,restaurant,travel,friendly,magazine
Apollographql	both				
Apple	light	white room with a single blue switch.	SF Pro Display, SF Pro Text	#0071e3 #0066cc #2997ff #1d1d1f	kids,product,tech,automotive,pharma,furniture
Apple (España)	both	obsidian gallery vitrine — a dark showroom where a single titanium object glows against pu	SF Pro Display, SF Pro Text	#1d1d1f #f5f5f7 #000000 #ffffff	dark,ecommerce,product,real estate,automotive,pharma
Apple (España)	dark	black theater with luminous hardware	SF Pro Display, SF Pro Display	#000000 #1d1d1f #333336 #424245	dark,ecommerce,automotive,pharma,coffee
Apple (España)	light				
Apple (España)	light	Museum gallery in soft daylight — the gallery is a single, immersive, weightless white roo	SF Pro Display, SF Pro Text	#f5f5f7 #ffffff #1d1d1f #000000	product,photography,automotive,museum,news,furniture
Apple (España)	light	cinematic gallery on poured concrete — every product its own still life, every headline a 	SF Pro Display, SF Pro Text	#0071e3 #0066cc #03aa49 #ed6300	cinematic,product,automotive,pharma
Apple (España)	light	gallery vitrine in morning fog	SF Pro Display, SF Pro Text	#1d1d1f #f5f5f7 #ffffff #707070	fashion,ecommerce,product,tech,photography,automotive,nature
Apple (España)	light	white gallery vitrine	SF Pro Text, SF Pro Display	#ffffff #f3f6f6 #fafafc #e8e8ed	product,automotive,furniture
Apple (España)	light	white museum gallery at noon	SF Pro Display, SF Pro Text	#f5f5f7 #ffffff #1d1d1f #707070	product,pharma
Applied Labs	light	Sunlit cream paper with cobalt punctuation and floating conversation cards	Geist	#ffffff #f7f7f4 #f5f5f5 #e4e4e7	experimental,friendly,ai,community,coffee
Aptos Network	light	Earth-toned code atelier — a sage-walled observatory where terracotta, sand, and powder-bl	Season Serif	#0f0e0b #f9f9f0 #6d6c67 #21201c	architecture,organic,crypto,space
Aqua Voice	light				
Arc	light	Scalloped editorial playground	Marlin Soft SQ, Marlin	#3139fb #2702c2 #fffadd #fffcec	productivity
Arc	light	industrial white gallery above midnight water	Soehne	#e5e7eb #0a0a0a #ffffff #000000	architecture,industrial,corporate,ecommerce,organic,construction,sport
Arcade	light	Electric blue ripple on white paper. A clean editorial canvas where a single vivid blue fl	Inter, Balig Script	#2142e7 #182fa5 #111827 #4b5563	industrial,tech,gaming,automotive
Arcadia	light	forest observatory at dawn — deep evergreen authority on warm cream paper, one mint LED ac	DM Sans, Helvetica	#104336 #0fff87 #7c18d3 #f3f1ec	corporate,saas,wellness,government,enterprise,consulting,energy
Arsenijs Fabrica	light	Editorial beauty spread under gallery lights. Pure-white gallery walls, a single warm stro	Onest, Times	#f15730 #f7651a #ff8562 #111111	fashion,product,natural,experimental,beauty,wellness,automotive
Art In DUMBO	light	gallery broadside on raw paper	Helvetica Neue, Roboto	#000000 #ffffff #f1f2f2 #e5e3df	architecture,photography,agency,education,music,government,museum
Artandcommerce	light	art book spread on bone paper	Adobe Garamond, Akzidenz Grotesk	#000000 #e7e7e7 #121212	photography,magazine,agency,museum
Artboard	light	Lime-voltage designer's tabletop. White paper, ink-black type, and one electric green that	Vend Sans, system-ui	#0d1400 #aaff00 #ffffff #838976	architecture,developer,dashboard,illustration
Arthursimonini	dark	printed film programme in black ink	RomieLigatures-Regular, LifeLTStd-Roman	#000000 #ffffff	cinematic,swiss,luxury,fashion,magazine,sport,music
Arva	light	Pastoral editorial magazine spread on a cream field	Inter, Reckless	#07503f #e8fe85 #f1efdf #ffffff	swiss,travel,sport,insurance
Asana	light	Productivity whiteboard lit by a coral lamp — authoritative black type on a breathing whit	Ghost, TWK Lausanne	#0d0d0d #ffffff #f3f3f3 #e7e7e7	wellness,productivity,fitness
Ashleyandco	light	Whispered apothecary editorial — a warm cream page where a single serif headline floats li	Neue Haas Grotesk Text, Martina Plant	#f6f3f0 #ffffff #3c3c3c #000000	luxury,organic,magazine,beauty,wellness,pharma,jewelry
Ashton Bespoke	light	Stone cathedral of craftsmanship — warm parchment surface, one whisper of burgundy, letter	Arial, Legquinne VF	#38141b #262626 #e0ded8 #ffffff	luxury,architecture,hospitality,hotel,construction,beauty,nature
Aspelin Reitan	light	Candlelit architectural archive — the page reads like a portfolio of built places pinned t	ModernEra	#ffebd0 #fff8e9 #000000 #2f2116	architecture,hospitality,hotel,restaurant,photography,construction,real estate
Assembly Coffee London	dark	Embers in a dark roastery. A near-black canvas with warm, low-lit product photography and 	GT America Standard, ID00 Serif	#0e1311 #000000 #1a1a1a #333333	ecommerce,restaurant,food,coffee
Assurestor	dark	Electric terminal in a deep forest vault — lime phosphor on midnight olive.	Denim Ink, Courier New	#203400 #1b2d00 #335400 #bdff00	corporate,tech,legal,gaming,neon,banking,insurance
Astro	dark	Deep space mission control with a single purple nebula glow	ui-sans-serif, Obviously	#1f232e #0c0f19 #060913 #17191e	neon,space
Atelier Deux-Cé	light	Sunlit editorial gallery	Helvetica, minion-3	#000000 #ffffff #eee5da #d8ddc6	editorial,fashion,kids,photography,magazine,education,beauty
Athletics	dark	monograph on black velvet	Feature Deck, Söhne	#000000 #1d1d1d #ffffff #d6d5d0	typography,agency,sport,automotive
Atlantic.vc	dark	Midnight observatory wireframe — electric blue and ice-white type on layered charcoal, tra	Monument, Mono	#d8eaff #000000 #0d0d0f #232529	corporate,travel,experimental,automotive,gradient,science,space
Atlas Card	dark	Midnight vault with a single sapphire light — pure black space where one deep electric blu	Sequel Sans Headline Book, Sequel Sans Book	#000000 #1e1e1e #272727 #808080	luxury,fintech,banking
Atlassian	light	Confetti-edged engineering blueprint. A clean white enterprise canvas interrupted by dark 	Charlie Display, Charlie Text	#1868db #101214 #292a2e #1c2b42	architecture,industrial,corporate,saas,colorful,legal,dashboard
Atoms	dark	obsidian monolith in candlelight — a near-black canvas where a single warm champagne accen	Switzer, system-ui sans-serif	#c8ad86 #fff7dd #000000 #66635f	dark,minimal,organic,brutalist,automotive,monochrome,ai
Atoms	light	white atelier with one blue spark	IBM Plex Sans, IBM Plex Serif	#4267ff #425ce1 #ff5f56 #ffbd2e	energy,coffee
Attio	light	Architectural editorial on white marble	Inter, InterDisplay	#ffffff #1c1d1f #232529 #101113	hotel
Audyr	light	Ink on cold-pressed paper. The interface reads as a meticulously typeset monograph — black	Inter	#262626 #ffffff #ededed #171717	clinical,saas
Augen Pro	light	Apple keynote on surgical white — clinical, weightless, electric blue as single accent in 	PP Neue Montreal	#0f1012 #020201 #f2f2f4 #fdfdfd	minimal,healthcare,clinical,organic,tech,saas,education
August Health EHR	light	Warm cream pharmacy with violet ink — a humanist clinical surface that softens healthcare'	Reckless Neue, Saans	#4865ff #080331 #1b1463 #328a3b	healthcare,clinical,hotel,saas,friendly,education,wellness
Aurora	light	autonomous horizon at dawn — a clean white cockpit looking out onto a sunlit highway, one 	Inter, Arial	#001733 #006aed #18dcdc #68748d	automotive,ai,insurance,news,enterprise,logistics
Auros	dark	Abyssal terminal with bioluminescent data orbs	Matter, Arial	#012624 #011d1c #003734 #edfffe	gaming,gradient,crypto,banking
Authkit	dark	Frosted glass cathedral at midnight	Untitled Sans, aeonikPro	#05060f #2f343e #9da7ba #c7d3ea	dark,security
AutoSend	light	Warm stone atelier with a single violet spark — where serif headlines and electric-indigo 	Geist, Cooper LtBT	#fafaf9 #ffffff #e7e5e4 #79716b	saas,friendly,automotive,warm,insurance,startup,energy
Automate Supplier Payments	light	butcher paper bakery ledger. A cream-colored, sun-warmed workspace where thick slab type, 	sans-serif, Champ	#fff6d2 #ffd801 #000000 #ffffff	hospitality,restaurant,fintech,pastel,food,automotive,warm
Awesomic	light	editorial zinc grid with confetti-orange punctuation.	Cosmica	#09090b #18181b #27272a #3f3f46	playful,colorful,wellness,dashboard
Awwwards	light	Swiss editorial gallery wall — oversized type, full-bleed photography, and a single black 	Inter Tight	#222222 #ffffff #e9e9e9 #dedede	swiss,education,sport,blog,wedding
Axelar	dark	Signal lights through dark lattice	Clashgrotesk, Inter	#ff6314 #33ffac #5b76ff #ff2ad4	dark,legal,gaming,gradient,neon,crypto,security
